"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"571109632174792704","571109219879010305","18358444","2015-02-27 00:48:41 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@LindsayPavlas - This was a very stressful place for me to enter this conversation. 

*scrolls back*","","","",""
"571108541504692225","571006952748113921","373590032","2015-02-27 00:44:21 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","I'm considering never listening to this week's @DeadAuthorPod w/ @RonFunches just so I will always be able to look forward to hearing it.","","","",""
"571053617588916224","571053437250461696","17156994","2015-02-26 21:06:06 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@billchilds - I met @zooglobble this past summer at MaxFunCon in LA.","","","",""
"571052605645950977","571050422951157760","22856668","2015-02-26 21:02:05 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@zooglobble @billchilds - Huh, I should have thought that you two would know / know of each other. Small world indeed.","","","",""
"571052086781214720","","16317267","2015-02-26 21:00:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@ajlobster - I'm sorry, but you once again came to mind first:

Thellama and Llouise - 
http://t.co/ILQTLze9My","","","","http://twitter.com/steventurous/status/571042528293580800/photo/1"
"571050694591025153","571050609639428096","20205837","2015-02-26 20:54:29 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@staceymolski @erienneschneck - That's not better.","","","",""
"571050466408308736","571050242553950208","20205837","2015-02-26 20:53:35 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@staceymolski @erienneschneck - Please see your previous tweets.","","","",""
"571049693242904577","571047915881439232","261730774","2015-02-26 20:50:31 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@erienneschneck - I think you meant ""marginally more insane""

RE: @staceymolski's interior monologue about kidnapping a baby in Hoboken.","","","",""
"571048632721522688","","","2015-02-26 20:46:18 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @billchilds: Spare a thought for the poor PR people whose pitches are getting ignored due to llamas.","571047996743249921","17156994","2015-02-26 20:43:46 +0000",""
"571041583501615104","570975027178426369","58596124","2015-02-26 20:18:17 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@mcelmoyl @staceymolski - Yes, have some.","","","",""
"571039934561316864","","","2015-02-26 20:11:44 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Rezznul: @MaxFunHQ Okay, now that #TotesEat is a go, next one: @wildernessmaaan with @grahamclark ! :D","568862863957188608","108077976","2015-02-20 20:00:50 +0000",""
"571039359962619904","570972783729094656","58596124","2015-02-26 20:09:27 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@mcelmoyl @artichkme - This is an excellent plan that should be explored further by all those impacted by a lack of MFC 2015.","","","",""
"571038131044159488","571037728877359105","20505437","2015-02-26 20:04:34 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@NadiaKamil - That she does, but I think I know where she get it from.","","","",""
"571037391231836160","571034938180444161","20505437","2015-02-26 20:01:38 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@NadiaKamil - I truly hope this change does not come between you and Unicorn.

https://t.co/JPGQpVbhE0","","","","https://www.youtube.com/watch?v=L4Ta0DjwCtc"
